"","qRange","qDmda"
"760",10.9405470720574,1.34665085033452
"761",11.0418805085416,1.34628122902358
"762",11.1441525146679,1.34591577143566
"763",11.2473717836475,1.34555442289676
"764",11.35154708921,1.34519712960911
"765",11.4566872863487,1.34484383863386
"766",11.5628013120738,1.3444944978743
"767",11.6698981861715,1.34414905605939
"768",11.7779870119712,1.34380746272769
"769",11.887076977119,1.34346966821171
"770",11.9971773543588,1.34313562362253
"771",12.1082975023204,1.34280528083487
"772",12.2204468663149,1.34247859247243
"773",12.3336349791378,1.34215551189357
"774",12.4478714618791,1.34183599317738
"775",12.5631660247412,1.34151999111001
"776",12.6795284678643,1.3412074611713
"777",12.7969686821594,1.34089835952174
"778",12.9154966501488,1.34059264298974
"779",13.0351224468151,1.34029026905915
"780",13.155856240457,1.33999119585705
"781",13.2777082935543,1.33969538214187
"782",13.4006889636395,1.33940278729172
"783",13.5248087041788,1.339113371293
"784",13.6500780654601,1.33882709472924
"785",13.7765076954905,1.33854391877023
"786",13.9041083409007,1.33826380516135
"787",14.0328908478587,1.33798671621312
"788",14.162866162992,1.33771261479106
"789",14.2940453343176,1.33744146430562
"790",14.4264395121816,1.33717322870253
"791",14.5600599502065,1.33690787245313
"792",14.6949180062482,1.33664536054512
"793",14.831025143361,1.33638565847335
"794",14.9683929307726,1.33612873223089
"795",15.1070330448665,1.33587454830026
"796",15.2469572701757,1.33562307364487
"797",15.3881775003835,1.33537427570059
"798",15.5307057393346,1.33512812236755
"799",15.674554102056,1.33488458200208
"800",15.819734815786,1.33464362340885
"801",15.9662602210143,1.33440521583312
"802",16.1141427725302,1.3341693289532
"803",16.2633950404819,1.33393593287306
"804",16.4140297114447,1.33370499811504
"805",16.5660595894991,1.33347649561279
"806",16.7194975973199,1.33325039670428
"807",16.8743567772738,1.33302667312503
"808",17.0306502925284,1.33280529700137
"809",17.1883914281715,1.33258624084395
"810",17.3475935923393,1.33236947754128
"811",17.5082703173573,1.33215498035352
"812",17.6704352608895,1.33194272290623
"813",17.8341022071001,1.33173267918443
"814",17.9992850678248,1.33152482352661
"815",18.1659978837533,1.33131913061896
"816",18.3342548256229,1.33111557548971
"817",18.504070195423,1.33091413350352
"818",18.6754584276108,1.33071478035603
"819",18.848434090338,1.33051749206852
"820",19.0230118866894,1.33032224498265
"821",19.1992066559328,1.33012901575527
